id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Mercedes;Mraz;Archibald.Upton@yahoo.com;coordination;2023-11-06T11:05:47;29675;19587
2;Devonte;Corkery;Art36@gmail.com;skirmish snarling;2023-11-06T08:35:24;3579;16103
3;Merle;Bergnaum;Onie.Kautzer45@gmail.com;elegantly;2023-11-06T12:02:56;27417;23093
4;Eldon;Johnston;Sage.Stehr41@gmail.com;refloat ugh prettify;2023-11-05T19:27:59;20743;28565
5;Allie;Hessel;Brandi.Mayer24@gmail.com;finally;2023-11-06T03:43:44;31668;25467
6;Abagail;Turcotte;Peggie84@yahoo.com;aluminum memorable feed;2023-11-06T07:36:49;15379;26772
7;Gunner;Abshire-Kautzer;Dortha_Kohler@yahoo.com;uh-huh card circular;2023-11-06T07:46:02;27803;24936
8;Esmeralda;Rath;Connie81@hotmail.com;voluntarily result;2023-11-06T13:02:25;1758;27519
9;Eleonore;Williamson;Eric21@gmail.com;from zowie;2023-11-05T23:21:54;1132;32351
10;Bradley;Gutmann;Mossie30@gmail.com;than hence;2023-11-05T22:24:11;732;17872
